,Hill Climbing,Hill Climbing,Hill Climbing,Simulated Annealing,,,Algoritmo Genético,,
,4 reinas,8 reinas,10 reinas,4 reinas,8 reinas,10 reinas,4 reinas,8 reinas,10 reinas
Media de tiempo,0.00016651550928751627,0.0010045766830444336,*****,0.0007353888617621528,0.003002357482910156,0.01261281967163086,*******,87.19509920866594,********
Desviación estándar de tiempo,0.0003888974045439094,7.586432731960926e-06,*****,0.0007587813188226747,0.0014123489144332168,0.0036940869782828402,*******,32.538010141121035,********
Porcentaje de soluciones,40.0,6.666666666666667,*****,90.0,16.666666666666664,6.666666666666667,*******,76.66666666666667,********
Media de estados,1.25,3.5,*****,52.629629629629626,65,182,*******,7.478260869565218,********
Desviacion estándar de estados,0.8660254037844386,0.7071067811865476,*****,53.6471005368547,20.359273071502333,14.142135623730951,*******, 7.178690468180437,********
